id,easting,northing
270669TP,467328.0,155159.0
318004,476925.0,122864.0
300001TP,472875.0,138388.0
271491TP,486032.0,159540.0
283596TP,497662.0,161057.0
282947TP,496022.0,154183.0
281186TP,480326.0,136035.0
282781TP,500164.0,151747.0
324739,460548.0,132067.0
282290TP,504131.0,139261.0
316905,496915.0,136615.0
264223501,495177.0,129075.0
326675,451990.0,150690.0
280826TP,485581.0,148120.0
546580,351488.0,341377.0
548546,341890.0,356420.0
545450,329429.0,337265.0
548682,341902.0,366613.0
545694,334474.0,340660.0
551440,343086.0,375902.0
003652,450540.0,326820.0
003766,450340.0,345620.0
003775,454370.0,353620.0
171450,484816.0,228710.0
160532,486720.0,257410.0
173182,488751.0,252663.0
182601,533210.0,245237.0
178410,522377.0,270869.0
176554,522221.0,248558.0
174053,508431.0,249497.0
175102,520186.0,227586.0
180977,533668.0,257893.0
240201TP,506450.0,221740.0
175876,503814.0,236481.0
173378,500206.0,228489.0
172606,494368.0,234716.0
241243TP,527547.0,229633.0
161473,490700.0,267360.0
240662TP,511070.0,227720.0
175477,520746.0,234481.0
176751,501501.0,267450.0
253340TP,418169.0,220033.0
261021TP,449352.0,195226.0
260221TP,434299.0,192915.0
253861TP,430139.0,210675.0
259110TP,457942.0,221163.0
265038TP,445642.0,182926.0
263541TP,460880.0,205100.0
254829TP,429453.0,226777.0
264254TP,461320.0,191235.0
254336TP,444440.0,208670.0
251530TP,422219.0,199013.0
268851TP,446952.0,173862.0
256230TP,450334.0,205879.0
247344TP,509866.0,184494.0
276036TP,504098.0,183732.0
274918TP,485782.0,171932.0
279941TP,501647.0,167378.0
247540TP,507692.0,176721.0
417417TP,499351.0,175133.0
282537,511297.0,144120.0
247281TP,513059.0,189284.0
285630TP,516009.0,155636.0
006403,405208.0,593767.0
005782,403636.0,584441.0
019734,433648.0,566236.0
007533,414691.0,571218.0
017651,420282.0,567317.0
008632,435406.0,572604.0
004942,423574.0,605900.0
005588,430528.0,586881.0
008062,429500.0,582190.0
003232,405837.0,602015.0
006077,397590.0,590300.0
007292,402002.0,571076.0
WESTBR,596015.0,226765.0
GREAFR,601945.0,257790.0
WOODBR,625920.0,247545.0
EYERBBL,615100.0,272300.0
LLEVINGR,624102.0,239898.0
BILDER,599131.0,248710.0
GOAKLR,621052.0,227115.0
HORSLR,612270.0,227480.0
LLAYERR,598666.0,220480.0
GLEMSR,583419.0,249134.0
LANGRR,602063.0,234447.0
NEEDMR,609472.0,254943.0
GTCORR,588527.0,238548.0
EARLSR,586518.0,229384.0
185617,587414.0,262435.0
KIRTLGR,567989.0,256011.0
WICKBR,574925.0,254968.0
190329,586515.0,284505.0
FORNCETTR,614383.0,292957.0
189543,602822.0,295177.0
186712,569320.0,274836.0
195140,582384.0,315162.0
194080,559038.0,300961.0
199736,571252.0,320988.0
191434,588660.0,300089.0
EDERER,597574.0,313734.0
196631,544029.0,299242.0
188753,555095.0,280679.0
