NRFA_ID,easting,northing
1001,326202.0,954915.0
2001,299839.0,918163.0
2002,289156.0,903916.0
3001,258100.0,906200.0
3002,249136.0,892152.0
3003,240305.0,900145.0
3004,247176.0,902133.0
3005,257412.0,897418.0
3006,231577.0,910138.0
4001,248129.0,854675.0
4003,265467.0,869598.0
4004,245517.0,856292.0
4005,228649.0,852780.0
4006,220463.0,860186.0
4007,239538.0,861706.0
4008,270225.0,865187.0
4009,249292.0,858688.0
4010,222881.0,851822.0
4011,220290.0,851010.0
5001,242600.0,840500.0
5002,239034.0,840439.0
5003,235449.0,832076.0
5004,231526.0,828751.0
6001,263900.0,841000.0
6003,241600.0,816900.0
6006,237700.0,816800.0
6007,264507.0,842726.0
6008,245044.0,829976.0
6009,240218.0,817473.0
6011,237989.0,807473.0
6012,239190.0,830158.0
6013,267753.0,845238.0
7001,282558.0,833548.0
7002,301853.0,858387.0
7003,319402.0,862632.0
7004,288238.0,855059.0
7005,300541.0,848032.0
7006,313442.0,848903.0
7007,315474.0,858170.0
7008,268563.0,835166.0
7009,303930.0,855845.0
7010,297947.0,857111.0
7011,314443.0,857510.0
7012,313174.0,849606.0
8001,327785.0,843972.0
8002,288099.0,808201.0
8003,275900.0,799600.0
8004,318548.0,835197.0
8005,294691.0,819208.0
8006,331850.0,851788.0
8007,268761.0,796425.0
8008,278926.0,799629.0
8009,297722.0,824763.0
8010,303282.0,826785.0
8011,320160.0,829003.0
8013,284986.0,804711.0
8015,335500.0,839950.0
8016,317550.0,819120.0
8017,323680.0,841545.0
8018,316151.0,817523.0
8021,302232.0,816015.0
9001,353217.0,846431.0
9002,370551.0,849833.0
9003,349350.0,850614.0
9004,351934.0,837440.0
9005,337839.0,829102.0
9006,350418.0,866670.0
9007,362715.0,846967.0
9008,360750.0,865070.0
9009,372471.0,849379.0
9010,351641.0,840809.0
10001,392436.0,830912.0
10002,410113.0,848516.0
10003,394684.0,830370.0
11001,388770.0,814190.0
11002,375677.0,820150.0
11003,356818.0,817072.0
11004,372104.0,825981.0
11005,337027.0,812058.0
11006,332985.0,810480.0
12001,363482.0,795613.0
12002,379739.0,798317.0
12003,334395.0,796531.0
12004,332248.0,795485.0
12005,336423.0,794759.0
12006,335231.0,797050.0
12007,309788.0,789522.0
12008,368703.0,792800.0
12009,362411.0,783457.0
13001,382648.0,773370.0
13002,365893.0,767045.0
13003,358364.0,759176.0
13004,339574.0,758549.0
13005,365466.0,749433.0
13007,369940.0,764029.0
13008,359962.0,759665.0
13009,359152.0,768050.0
13010,363954.0,741852.0
13012,337278.0,765336.0
13017,360946.0,746641.0
14001,341452.0,715796.0
14002,347644.0,732508.0
14005,344033.0,722381.0
14006,357400.0,736101.0
14007,357606.0,735810.0
14009,322508.0,710163.0
14010,338710.0,721631.0
15001,318700.0,764700.0
15002,323000.0,760500.0
15003,308289.0,739575.0
15004,328000.0,755900.0
15005,327500.0,755800.0
15006,314750.0,736680.0
15007,292403.0,753411.0
15008,334048.0,747954.0
15010,329426.0,746595.0
15011,278529.0,748684.0
15012,294718.0,757417.0
15013,306715.0,725811.0
15014,305619.0,763026.0
15015,289228.0,731341.0
15016,278214.0,746706.0
15017,297913.0,740557.0
15018,253400.0,744800.0
15021,318095.0,740023.0
15023,301320.0,742158.0
15024,256401.0,731995.0
15025,317405.0,747165.0
15027,307480.0,733943.0
15028,309050.0,731179.0
15029,325719.0,748450.0
15030,329300.0,745815.0
15032,306973.0,733689.0
15034,290080.0,763515.0
15035,266405.0,758723.0
15038,249686.0,756965.0
15039,289227.0,771575.0
15041,261952.0,747654.0
15046,307200.0,734300.0
16001,293313.0,716652.0
16002,275383.0,721661.0
16003,276441.0,720399.0
16004,304401.0,718327.0
16007,297508.0,715379.0
17001,283180.0,681818.0
17002,336890.0,700546.0
17003,282421.0,680371.0
17004,332965.0,699649.0
17005,295194.0,679657.0
17008,311809.0,701570.0
17012,278794.0,678013.0
17015,311503.0,704113.0
17016,322026.0,698514.0
17018,315663.0,704025.0
18001,279225.0,705376.0
18002,285815.0,696073.0
18003,272519.0,701136.0
18005,278591.0,697984.0
18007,301178.0,701801.0
18008,258523.0,709613.0
18010,271411.0,695258.0
18011,277658.0,695458.0
18013,291355.0,692339.0
18014,281161.0,690814.0
18015,260205.0,706926.0
18016,246574.0,696757.0
18017,247500.0,723000.0
18018,253200.0,721900.0
18019,238729.0,704173.0
18020,246804.0,698723.0
18021,246959.0,698751.0
18022,250348.0,701341.0
18023,248000.0,725000.0
19001,316538.0,675267.0
19002,300377.0,665115.0
19003,301346.0,663841.0
19004,325208.0,661612.0
19005,308623.0,668601.0
19006,322792.0,673202.0
19007,333828.0,672327.0
19008,332488.0,662323.0
19009,302552.0,659141.0
19010,327249.0,670781.0
19011,333221.0,667577.0
19012,321190.0,668792.0
19014,311393.0,673124.0
19017,316088.0,673289.0
19020,294792.0,665548.0
19021,333843.0,667779.0
20001,359091.0,676808.0
20002,348865.0,681117.0
20003,345618.0,668891.0
20004,361000.0,682403.0
20005,345685.0,668715.0
20006,364473.0,676819.0
20007,351108.0,671699.0
20008,369732.0,677641.0
21001,308800.0,620500.0
21002,366300.0,663300.0
21003,325821.0,640017.0
21005,320597.0,639747.0
21006,349823.0,633376.0
21007,348551.0,631529.0
21008,370229.0,628038.0
21009,389836.0,647709.0
21010,358823.0,632088.0
21011,343911.0,627691.0
21012,352232.0,615869.0
21013,347932.0,637377.0
21014,310875.0,628541.0
21015,356482.0,638801.0
21016,394185.0,663565.0
21017,323413.0,613150.0
21018,320949.0,640033.0
21019,321701.0,636892.0
21020,330908.0,624757.0
21021,375227.0,635405.0
21022,388077.0,655014.0
21023,383980.0,639652.0
21024,365589.0,621368.0
21025,363417.0,624433.0
21026,327820.0,613710.0
21027,382565.0,653028.0
21028,309200.0,623400.0
21029,306300.0,621500.0
21030,323123.0,623103.0
21031,392509.0,639562.0
21032,391848.0,631028.0
21034,328950.0,624444.0
21035,390000.0,642400.0
22001,423443.0,604453.0
22002,386941.0,608343.0
22003,388665.0,607716.0
22004,421100.0,612900.0
22006,424293.0,580003.0
22007,417458.0,585790.0
22008,392500.0,606300.0
22009,406706.0,601600.0
23001,403858.0,561700.0
23002,404107.0,550791.0
23003,390555.0,573231.0
23004,385656.0,564671.0
23005,377647.0,586133.0
23006,367216.0,561064.0
23007,416815.0,558094.0
23008,386837.0,583213.0
23009,371543.0,546530.0
23010,378922.0,587885.0
23011,364442.0,594681.0
23012,380210.0,558329.0
23013,379078.0,558271.0
23014,363100.0,593500.0
23015,392400.0,572100.0
23016,425409.0,567548.0
23017,424964.0,558471.0
23018,419398.0,569862.0
23022,371262.0,587574.0
23033,386400.0,594400.0
24001,426520.0,537734.0
24002,421400.0,530700.0
24003,398366.0,539040.0
24004,411799.0,532192.0
24005,425904.0,538688.0
24006,395283.0,539084.0
24007,416505.0,546207.0
24008,417280.0,530900.0
24009,428304.0,551226.0
24011,385584.0,539487.0
25001,425923.0,513748.0
25002,393129.0,525968.0
25003,375782.0,533513.0
25004,428399.0,512942.0
25005,444431.0,512072.0
25006,403361.0,512209.0
25007,428186.0,510113.0
25008,404632.0,516641.0
25009,436442.0,510549.0
25011,385215.0,530915.0
25012,384978.0,530916.0
25018,394881.0,525019.0
25019,458466.0,508686.0
25020,429210.0,523780.0
25021,431818.0,528494.0
25022,393100.0,518200.0
25023,381394.0,528806.0
25029,445550.0,509381.0
25808,375200.0,533200.0
25809,377300.0,532700.0
25810,377200.0,533200.0
26001,506400.0,456000.0
26002,507957.0,449913.0
26003,509358.0,454867.0
26004,516540.0,467530.0
26005,513681.0,467755.0
26006,500905.0,457553.0
26007,517100.0,440300.0
26008,488996.0,431631.0
26009,506668.0,455589.0
26010,506668.0,455589.0
26011,484462.0,434397.0
26012,477976.0,437277.0
26013,501852.0,456079.0
26014,502300.0,458300.0
26802,490400.0,467500.0
27001,442802.0,452991.0
27002,442215.0,447311.0
27003,453040.0,425471.0
27004,436500.0,422330.0
27005,414117.0,468296.0
27006,438931.0,390954.0
27007,435599.0,467047.0
27008,441574.0,474807.0
27009,456845.0,455373.0
27010,462700.0,494400.0
27011,421957.0,448831.0
27012,397300.0,430900.0
27013,428900.0,395700.0
27014,474300.0,477100.0
27015,471162.0,455628.0
27016,425300.0,399200.0
27017,428687.0,390594.0
27018,402424.0,418737.0
27019,403300.0,416600.0
27020,423600.0,404700.0
27021,456977.0,403973.0
27022,442682.0,392768.0
27023,434970.0,407279.0
27024,414641.0,500620.0
27025,443213.0,385749.0
27026,439339.0,374468.0
27027,411219.0,448140.0
27028,428057.0,434020.0
27029,412434.0,421966.0
27030,447677.0,402022.0
27031,417391.0,419921.0
27032,402481.0,464255.0
27033,502712.0,490737.0
27034,419062.0,485989.0
27035,401106.0,445684.0
27038,477405.0,483621.0
27040,444290.0,374600.0
27041,473112.0,458712.0
27042,470468.0,485533.0
27043,409146.0,449298.0
27044,472491.0,447392.0
27047,383309.0,488292.0
27048,498871.0,484988.0
27049,469439.0,479196.0
27050,486573.0,508144.0
27051,428386.0,451880.0
27052,437638.0,374771.0
27053,423007.0,460316.0
27054,465151.0,490255.0
27055,455997.0,488365.0
27056,479106.0,481952.0
27057,473581.0,482152.0
27058,466136.0,481011.0
27059,430294.0,470949.0
27060,450988.0,460295.0
27061,413644.0,416110.0
27062,448247.0,456080.0
27063,405777.0,463931.0
27064,455064.0,416309.0
27065,414229.0,415754.0
27066,439278.0,391355.0
27067,435755.0,386369.0
27068,403547.0,418938.0
27069,437579.0,484363.0
27071,442503.0,473339.0
27072,406369.0,440866.0
27073,493627.0,479462.0
27074,422476.0,421023.0
27075,430621.0,490249.0
27076,476061.0,444429.0
27077,415123.0,437472.0
27079,440828.0,425695.0
27080,438170.0,428169.0
27081,436447.0,428102.0
27082,441924.0,472437.0
27083,461239.0,454337.0
27084,402035.0,445263.0
27085,442199.0,476603.0
27086,431570.0,470949.0
27087,483290.0,477405.0
27088,401160.0,426050.0
27089,447706.0,444103.0
27090,422618.0,499315.0
27091,440132.0,452956.0
27092,487316.0,508248.0
27094,435094.0,492105.0
27095,479664.0,484039.0
27096,398561.0,464970.0
27097,410436.0,439458.0
27098,424300.0,421500.0
27099,481200.0,473100.0
28001,419810.0,385090.0
28002,410890.0,319170.0
28003,416940.0,291460.0
28004,420600.0,293500.0
28005,417300.0,310500.0
28006,399360.0,323090.0
28007,444800.0,329960.0
28008,411240.0,339670.0
28009,462010.0,339960.0
28010,435600.0,336300.0
28011,429600.0,358600.0
28012,413210.0,317720.0
28014,397540.0,321530.0
28015,469010.0,389520.0
28016,464100.0,389700.0
28017,478750.0,347710.0
28018,423740.0,328840.0
28019,423910.0,320390.0
28020,410310.0,338900.0
28021,444250.0,332790.0
28022,480430.0,360560.0
28023,418250.0,369680.0
28024,461510.0,312460.0
28025,432080.0,299610.0
28026,426280.0,303340.0
28027,448250.0,336430.0
28028,460300.0,310900.0
28029,450300.0,327700.0
28030,446600.0,317100.0
28031,413980.0,350720.0
28032,455840.0,368000.0
28033,406320.0,366830.0
28035,454970.0,339290.0
28036,469990.0,375250.0
28037,421150.0,382120.0
28038,410600.0,359500.0
28039,407070.0,284710.0
28040,389170.0,346670.0
28041,408290.0,350160.0
28043,426060.0,368360.0
28044,457130.0,371400.0
28045,468100.0,373200.0
28046,414710.0,351000.0
28047,461470.0,387550.0
28048,437540.0,352000.0
28049,457520.0,379490.0
28050,464580.0,401220.0
28052,388350.0,326980.0
28053,392191.0,314433.0
28055,431940.0,344640.0
28056,458060.0,312130.0
28058,417530.0,346220.0
28059,454800.0,362300.0
28060,465290.0,347950.0
28061,398234.0,351970.0
28066,418170.0,287360.0
28067,444130.0,331650.0
28070,425900.0,380400.0
28072,471490.0,353940.0
28074,449160.0,326250.0
28079,387500.0,329073.0
28080,420800.0,293700.0
28081,401400.0,295690.0
28082,454200.0,297320.0
28083,388570.0,335500.0
28085,435390.0,336880.0
28086,458810.0,297680.0
28087,406042.0,291887.0
28091,463145.0,387128.0
28093,456550.0,318060.0
28095,418100.0,305170.0
28102,421210.0,291150.0
28103,424290.0,350160.0
28109,379286.0,329760.0
28110,396130.0,320230.0
28115,455970.0,363620.0
28116,466320.0,370400.0
28117,433140.0,354560.0
28118,464700.0,371210.0
29001,525280.0,401600.0
29002,541600.0,379310.0
29003,533700.0,387900.0
29004,503210.0,391180.0
29005,503210.0,391180.0
29009,503210.0,387470.0
30001,484200.0,347960.0
30002,506600.0,376600.0
30003,524080.0,360970.0
30004,540170.0,367590.0
30005,492700.0,333500.0
30006,508800.0,348430.0
30011,524590.0,379430.0
30012,512660.0,373930.0
30013,504040.0,369510.0
30014,512792.0,331246.0
30015,492460.0,329680.0
30017,492880.0,324600.0
30033,492900.0,354570.0
31001,485300.0,294100.0
31002,510620.0,314870.0
31004,509590.0,307720.0
31005,497010.0,299620.0
31006,503770.0,309720.0
31007,494820.0,299910.0
31008,506790.0,315980.0
31009,507350.0,311220.0
31010,496070.0,303020.0
31013,503800.0,327300.0
31016,495710.0,308880.0
31021,481880.0,291570.0
31022,474050.0,286670.0
31023,496580.0,325840.0
31024,502680.0,314730.0
31025,487410.0,305070.0
31026,487810.0,307250.0
31028,495080.0,308250.0
32001,516650.0,297190.0
32002,506700.0,293300.0
32003,498360.0,279840.0
32004,489920.0,271250.0
32006,472080.0,259190.0
32007,474900.0,261360.0
32008,462750.0,260700.0
32010,508060.0,299550.0
32012,473600.0,257100.0
32019,487200.0,276300.0
32020,508900.0,299500.0
32029,465600.0,260400.0
32031,472600.0,257740.0
33001,536962.0,272740.0
33002,505353.0,249560.0
33003,550795.0,265696.0
33004,564898.0,275686.0
33005,473463.0,235314.0
33006,577107.0,296526.0
33007,572348.0,311976.0
33009,494993.0,256463.0
33011,589242.0,280188.0
33012,515607.0,263134.0
33013,589559.0,279048.0
33014,575805.0,272944.0
33015,488186.0,240799.0
33016,544976.0,259325.0
33017,531396.0,270563.0
33018,471144.0,248673.0
33019,587961.0,283000.0
33020,520832.0,271757.0
33021,541538.0,252368.0
33022,515288.0,250922.0
33023,566235.0,273254.0
33024,546686.0,250642.0
33025,569494.0,325633.0
33026,521661.0,266946.0
33027,533301.0,248518.0
33028,514241.0,239310.0
33029,571602.0,300623.0
33030,494001.0,225948.0
33031,488837.0,240914.0
33032,568523.0,337484.0
33033,519004.0,237883.0
33034,585089.0,284362.0
33035,558775.0,301011.0
33037,487662.0,244233.0
33039,516004.0,253461.0
33040,526645.0,240047.0
33044,595681.0,285495.0
33045,602763.0,287794.0
33046,599615.0,292300.0
33048,592791.0,290686.0
33049,583407.0,295285.0
33050,563197.0,270227.0
33051,550523.0,242645.0
33052,555298.0,262893.0
33053,547084.0,251462.0
33054,568007.0,325264.0
33055,551018.0,250396.0
33056,553078.0,262807.0
33057,491690.0,224077.0
33058,488293.0,232162.0
33061,540218.0,245980.0
33062,540309.0,245563.0
33063,595497.0,280786.0
33064,535902.0,246674.0
33065,518531.0,229011.0
33066,557146.0,246348.0
33068,529642.0,240965.0
33070,584766.0,267226.0
34001,618230.0,308230.0
34002,622583.0,299391.0
34003,619214.0,329614.0
34004,617682.0,312740.0
34005,616966.0,311275.0
34006,622906.0,281137.0
34007,617520.0,277092.0
34008,633119.0,327041.0
34010,616787.0,278241.0
34011,591936.0,329335.0
34012,584198.0,342742.0
34014,602085.0,318419.0
34018,594432.0,341388.0
34019,626693.0,319368.0
35001,615427.0,244110.0
35002,632162.0,253350.0
35003,636008.0,260105.0
35004,636014.0,258271.0
35008,605756.0,257940.0
35010,612673.0,246529.0
35011,614338.0,241975.0
35013,640622.0,276880.0
35014,627049.0,242001.0
36001,604200.0,234000.0
36002,584576.0,247224.0
